Bug_id,Individual Step,Quality Labels,Path Sentences
49,,,open app
49,Enter incorrect price per km in fillup,"['EM', 'MS']","type the ""price"" edit text"
49,Switch to statistics view,['EM'],"click the ""statistics"" text view"
49,Find incorrect entry in history,['EM'],"click the ""history"" text view"
49,,,click linear layout
49,Fix the price,"['EM', 'MS']","type the ""price"" edit text"
,,,
53,,,open app
53,Enter few fillups,"['AS', 'MS']","type the ""price"" edit text"
53,,,"type the ""price"" edit text"
53,Mark each as partial,"['EM', 'MS']","click the ""tank was not filled to the top"" check box"
53,,,"click the ""tabhost"" tab host"
53,,,"click the ""save fillup"" button"
53,Go to stats,"['EM', 'MS']","click the ""tabs"" tab widget"
,,,
64,,,open app
64,Enter all the fillup data,"['AS', 'MS']","type the ""price"" edit text"
64,Go to History Tab,['EM'],"click the ""history"" text view"
64,Click on one of the Fillup history,['EM'],"click the ""list"" list view"
,,,
65,Open Mileage Tracker,['EM'],open app
65,,,"type the ""price"" edit text"
65,,,"click the ""9/13/24"" button"
65,Navigate to Service Intervals screen,"['EM', 'MS']","click the ""ok"" button"
65,Click on Add Service Interval,['EM'],"click the ""add service interval"" button"
65,,,"click the ""back"" image view"
65,,,"type the ""price"" edit text"
65,,,"click the ""9/13/24"" button"
65,,,"click the ""ok"" button"
65,Enter information for next oil change,"['AS', 'MS']","type the ""title"" edit text"
65,Add second service for yearly State Inspection,['EM'],"click the ""add service interval"" button"
,,,
10,,,open app
10,Press the Back button while viewing the Preferences,"['EM', 'MS']","click the ""back"" image view"
,,,
251,Open Time Tracker,['EM'],open app
251,Tap Menu,['EM'],"click the ""menu"" image view"
251,Tap more option,['EM'],"click the ""menu"" image view"
251,Select any option,['EM'],"click the "" detailed instructions are at http"" text view"
251,Tap ok,['EM'],"click the ""ok"" button"
251,,,"click the ""menu"" image view"
251,,,"click the ""more…"" text view"
251,Change device orientation as landscape,['VM'],
251,Select Export view to csv,"['EM', 'MS']","click the ""export view to csv"" text view"
,,,
35,,,open app
35,,,"click the ""ok"" button"
35,,,"click the ""back modal"" key button view"
35,,,"click the ""more…"" text view"
35,Restore backup in the app,"['EM', 'MS']","click the ""restore from backup"" text view"
35,,,"click the ""back modal"" key button view"
35,,,"click the ""back modal"" key button view"
35,Select the menu item,"['EM', 'MS']","click the ""more…"" text view"
,,,
46,,,open app
46,1. Click on OK,"['EM', 'MS']","click the ""ok"" button"
46,,,"click the ""back modal"" key button view"
46,,,"click the ""back modal"" key button view"
46,,,"click the ""change date range"" text view"
46,,,"click the ""last week"" text view"
46,,,"click the ""back modal"" key button view"
46,"2. Click on ""...""","['EM', 'MS']","click the ""more…"" text view"
46,,,"click the ""select range..."" text view"
46,,,"click the ""month view"" view"
46,,,"click the ""ok"" button"
46,,,"click the ""back modal"" key button view"
46,3. Click on Add Task,"['EM', 'MS']","click the ""add task"" text view"
46,"4. Insert text in ""testtask""",['EM'],"type the ""task edit name edit"" edit text"
46,5. Click on Add Task,['EM'],"click the ""add task"" button"
46,6. Long Click on Element in List,['EM'],"long click the ""back modal"" key button view"
46,7. Click on Edit Task,['EM'],"click the ""edit task"" text view"
46,8. Change Orientation,['VM'],
,,,
12,,,open app
12,Select Menu,"['EM', 'MS']","click the ""menu"" image view"
12,Select Preferences,['EM'],"click the ""preferences"" text view"
12,,,"click the ""back modal"" key button view"
12,Select Units,['VM'],
12,Select Imperial,"['EM', 'MS']","click the ""imperial (pd"" checked text view"
,,,
252,,,open app
252,,,"click the ""menu"" image view"
252,Export data,"['EM', 'MS']","click the ""export data"" text view"
252,Open data in Excel,['VM'],
,,,
471,,,open app
471,,,"click the ""next"" button"
471,,,"click the ""next"" button"
471,,,"click the ""next"" button"
471,,,"click the ""next"" button"
471,,,"click the ""done"" button"
471,,,"click the ""allow"" button"
471,,,click relative layout
471,Click small + in the account,"['EM', 'MS']","click the ""create transaction"" image view"
471,,,"click the ""navigate up"" image button"
471,,,"click the ""navigation drawer opened"" image button"
471,,,"click the ""reports"" text view"
471,,,"click the ""pie chart"" button"
471,,,"click the ""last 3 months"" text view"
471,Press this one time,"['EM', 'MS']","click the ""last 6 months"" checked text view"
471,,,"click the ""navigation drawer opened"" image button"
471,,,"click the ""reports"" text view"
471,,,"click the ""back modal"" key button view"
471,,,click relative layout
471,,,"click the ""create transaction"" image view"
